Reserva_ID;Quarto_ID;Hospede_ID;Canal_Venda;Data_Reserva;Data_Checkin;Data_Checkout;Qtd_Hospedes;Diaria_Media_Cobrada;Status_Reserva;Hotel_ID;Numero_Quarto;Andar;Tipo_Quarto;Capacidade_Pessoas;Vista;Tarifa_Base_Diaria;Hotel_Nome;Bandeira;Cidade;UF;Perfil_Destino;Categoria_Estrelas;Ano_Inauguracao;Nota_Media_Avaliacao;Hospede_Nome;CPF;Sexo;Data_Nascimento;Cidade_Origem;UF_Origem;Email;Telefone;Nivel_Fidelidade;Qtd_Lancamentos_Extras;Valor_Consumos_Extras
RSV-64111816;QRT-51590;HSP-987784;OTA BookNow;2024-07-05;02/11/2024;2024-11-04;1;1684,22;Check-out Realizado;HTL-485;504;5;Standard;2;Piscina;1162,37;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Erivan Ehrlich Campi;067.730.978-35;M;1950-04-27;Porto Alegre;RS;erivan.campi79@uol.com.br;(41) 97045-7559;Diamante;5,0;994,65
RSV-49716454;QRT-29439;HSP-263184;OTA ViajaMais;2026-04-23;01.05.26;05/05/2026;4;774,38;Check-out Realizado;HTL-782;303;3;Suíte Master;4;Jardim;771,95;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;DULCE FRANK ARCHANJO;645.331.649-86;F;1986-02-25;Rio de Janeiro;RJ;dulce_archanjo5@outlook.com;(51) 96423-2574;Prata;7,0;1935,69
RSV-80834884;QRT-43251;HSP-569136;Central Telefônica;2025-05-08;03/06/2025;2025-06-05;2;187,28;Check-out Realizado;HTL-105;403;4;Standard;2;Jardim;245,99;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Rita Amazónia Kossmann;517.743.402-83;F;1983-11-29;Curitiba;PR;rita.kossmann@gmail.com;(31) 96073-7797;Diamante;2,0;165,07
RSV-58599975;QRT-38773;HSP-857184;Site Próprio;2025-08-22;24.09.25;27.09.25;2;301,50;Check-out Realizado;HTL-606;306;3;Standard;2;Avenida;200,88;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Joilson Artoni Amaral;964.416.033-90;M;1993-05-18;Curitiba;PR;joilson.amaral@uol.com.br;(11) 97929-1073;Prata;2,0;449,0
RSV-37079959;QRT-00087;HSP-510015;OTA BookNow;2026-01-19;28/02/2026;03/03/2026;2;R$ 499,47;Check-out Realizado;HTL-108;301;3;Luxo;3;Interna;780,58;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Darleni Klement Anunciação;617.469.029-65;F;1952-09-07;Campinas;SP;darlenianunciacao@hotmail.com;(21) 99867-1477;Diamante;2,0;255,73
RSV-42489999;QRT-09785;HSP-977031;OTA ViajaMais;2024-08-12;08/11/2024;10/11/2024;2;247,22;Check-out Realizado;HTL-105;111;1;Superior;3;Piscina;266,83;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Ronaldo Chiappetta;266.281.076-98;M;1954-03-13;Rio de Janeiro;RJ;ronaldo_chiappetta@yahoo.com.br;(62) 99495-7771;Bronze;1,0;114,16
RSV-04265193;QRT-41316;HSP-889378;Site Próprio;2025-08-15;05/11/2025;08/11/2025;1;148,20;Check-out Realizado;HTL-105;212;2;Standard;2;Mata;220,87;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Kazuo Heller Gruber;425.475.957-61;M;1975-04-15;Londrina;PR;kazuo_gruber75@hotmail.com;(81) 99146-9907;Diamante;2,0;439,31
RSV-17957327;QRT-10607;HSP-825568;ViajaMais;2025-06-23;08/08/2025;15/08/2025;3;2152,78;Check-out Realizado;HTL-485;312;3;Luxo;3;Jardim;1763,41;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Núbia Bastos Hirano;740.501.332-53;F;2006-06-29;Campinas;SP;nubia.hirano@hotmail.com;(51) 99902-5317;Bronze;16,0;3557,02
RSV-92359675;QRT-02047;HSP-249439;Site Próprio;2025-12-25;16-01-2026;21/01/2026;1;340,80;Check-out Realizado;HTL-103;308;3;Superior;3;Piscina;250,45;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Leonora Castellani;730.638.556-93;F;1950-05-29;Recife;PE;leonora.castellani@gmail.com;(62) 96233-7336;Ouro;3,0;357,97
RSV-77729726;QRT-26237;HSP-236721;Site Próprio;2026-01-19;15/02/2026;19/02/2026;1;741,24;Check-out Realizado;HTL-782;206;2;Standard;2;Mata;429,63;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Jorge Ardiles Antonelli;666.206.856-09;M;1977-06-16;Niterói;RJ;jorge_antonelli@gmail.com;(81) 96014-3494;Ouro;12,0;1872,56
RSV-88708722;QRT-63609;HSP-079713;OTA BookNow;2025-07-30;26-08-2025;29/08/2025;1;448,56;Check-out Realizado;HTL-105;112;1;Suíte Master;4;Mata;555,49;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Venâncio Gatto Chiavegato;569.040.983-92;M;1997-07-08;Campinas;SP;venancio_chiavegato@outlook.com;(61) 99266-3069;Diamante;1,0;83,24
RSV-70263484;QRT-37220;HSP-794770;Balcão;2024-08-23;23/08/2024;27/08/2024;1;553,44;Check-out Realizado;HTL-782;304;3;Standard;2;Piscina;441,32;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Joselma Maia;846.428.734-81;F;1954-12-11;Ribeirão Preto;SP;joselma_maia@yahoo.com.br;(41) 98768-6984;Bronze;6,0;423,66
RSV-91039876;QRT-96428;HSP-207432;OTA BookNow;2024-08-14;06/11/2024;08/11/2024;2;249,76;Check-out Realizado;HTL-606;105;1;superior;3;Interna;299,83;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Nerian Bianchi Heinrich;841.383.890-83;M;1964-11-19;Rio de Janeiro;RJ;nerian.heinrich41@hotmail.com;(62) 98644-3147;Prata;2,0;73,61
RSV-74274713;QRT-66195;HSP-898857;Site Próprio;2025-05-28;21/07/2025;25/07/2025;2;2251,88;Check-out Realizado;HTL-356;104;1;Standard;2;Vale;1250,88;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Maiana Casanova Bartolucci;771.699.165-50;F;1965-01-01;São Paulo;SP;maianabartolucci@hotmail.com;(19) 97012-6049;Ouro;6,0;1473,93
RSV-17465553;QRT-92954;HSP-584526;Agência de Turismo;2026-05-30;24/07/2026;28-07-2026;2;141,87;Confirmada;HTL-103;208;2;Standard;2;Jardim;188,58;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Mariano Jakob Abbate;222.694.053-74;M;1959-10-23;Porto Alegre;RS;marianoabbate@icloud.com;(16) 96749-8191;Diamante;0,0;0,0
RSV-78672689;QRT-51351;HSP-991336;Balcão;2024-12-27;27/12/2024;30/12/2024;2;679,72;Check-out Realizado;HTL-108;209;2;Luxo;3;Avenida;777,59;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Valéria Benedetti;608.470.681-96;F;1986-08-21;Uberlândia;MG;valeria.benedetti5@hotmail.com;(41) 98386-9052;Diamante;3,0;190,48
RSV-13244390;QRT-53040;HSP-516147;Central Telefônica;2025-07-08;05/08/2025;09/08/2025;2;547,99;Check-out Realizado;HTL-785;301;3;Standard;2;Piscina;481,3;Horizonte Plaza Búzios;Horizonte Plaza;Búzios;RJ;praia;4;2008;8,9;Kimiko Archela Canellas;696.922.953-03;F;1955-08-31;Rio de Janeiro;RJ;kimiko.canellas@gmail.com;(81) 97024-2521;Ouro;7,0;1006,56
RSV-62085137;QRT-59117;HSP-213928;OTA ViajaMais;2024-08-08;31/08/2024;02/09/2024;1;529,83;Check-out Realizado;HTL-108;203;2;Standard;2;Cidade;437,65;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Marivaldo Amesquita Michels;687.447.017-56;M;1957-07-16;Campinas;SP;marivaldo.michels@hotmail.com;(11) 98832-9667;Diamante;0,0;0,0
RSV-52564730;QRT-09261;HSP-780620;OTA ViajaMais;2024-10-21;07/11/2024;09/11/2024;3;414,12;Check-out Realizado;HTL-105;405;4;Suíte Master;4;Mata;495,2;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Alcinéa Lima Heil;891.039.091-31;F;1995-11-30;São Paulo;SP;alcinea.heil95@hotmail.com;(11) 96586-6977;Bronze;1,0;76,46
RSV-59888447;QRT-94862;HSP-752605;OTA ViajaMais;2025-10-03;08/11/2025;15/11/2025;3;1164,03;Check-out Realizado;HTL-878;402;4;Luxo;3;Jardim;616,06;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Rosana Apolonia Carli;683.540.525-24;F;1958-05-25;Goiânia;GO;rosanacarli@outlook.com;(11) 99037-7329;Bronze;6,0;1716,83
RSV-32972013;QRT-37477;HSP-874222;Agência;2024-09-22;11/10/2024;15.10.24;1;448,17;Check-out Realizado;HTL-782;112;1;Superior;3;Piscina;636,57;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Elionarda Batista;276.255.937-54;F;2000-01-09;Belo Horizonte;MG;elionarda_batista@gmail.com;(21) 99528-9497;Diamante;4,0;393,51
RSV-57119665;QRT-62109;HSP-065174;Site Próprio;2025-11-18;08/02/2026;09/02/2026;2;788,14;Check-out Realizado;HTL-108;306;3;Luxo;3;Interna;724,79;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Giovani Erdmann;176.588.188-95;M;1966-05-16;Niterói;RJ;giovani.erdmann@yahoo.com.br;(11) 97724-2109;Prata;2,0;90,02
RSV-43518137;QRT-70661;HSP-867937;OTA BookNow;2025-01-29;04/04/2025;08/04/2025;3;1174,17;Check-out Realizado;HTL-356;302;3;Luxo;3;Jardim;1481,48;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Elisangela Nonato;325.737.553-04;F;2001-05-29;Uberlândia;MG;elisangelanonato@outlook.com;(51) 98472-1379;Bronze;6,0;2577,58
RSV-75237433;QRT-55013;HSP-985402;Site Próprio;2026-03-11;09/06/2026;2026-06-12;1;146,54;Check-out Realizado;HTL-103;101;1;Standard;2;Mar;225,31;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Ivan Annunziata Jost;316.393.483-87;M;1983-07-07;Salvador;BA;ivan_jost@outlook.com;(81) 96120-9877;Prata;2,0;100,79
RSV-24814943;QRT-92954;HSP-296375;OTA ViajaMais;2024-05-21;12/07/2024;16/07/2024;1;175,73;Check-out Realizado;HTL-103;208;2;Standard;2;Jardim;188,58;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Célia Callegari;090.805.120-44;F;1989-07-06;Brasília;DF;celiacallegari42@yahoo.com.br;(51) 96113-7141;Diamante;1,0;20,06
RSV-06831823;QRT-41356;HSP-482721;OTA BookNow;2025-07-14;01/11/2025;04/11/2025;1;514,94;Check-out Realizado;HTL-105;302;3;Superior;3;Jardim;320,18;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Silvia Sasaki;146.307.009-86;F;1986-10-29;Niterói;RJ;silvia_sasaki@gmail.com;(51) 96703-9835;Bronze;0,0;0,0
RSV-73033118;QRT-45132;HSP-611372;OTA BookNow;2024-04-19;16/08/2024;2024-08-20;1;276,69;Check-out Realizado;HTL-785;305;3;Standard;2;Jardim;413,17;Horizonte Plaza Búzios;Horizonte Plaza;Búzios;RJ;praia;4;2008;8,9;Rafaela Meller Amilo;982.182.744-64;F;1958-10-26;Curitiba;PR;rafaelaamilo@gmail.com;(62) 97552-4039;Bronze;6,0;1403,17
RSV-01927495;QRT-04025;HSP-516037;Site Próprio;2025-11-08;23/01/2026;26/01/2026;2;463,34;Check-out Realizado;HTL-602;101;1;Standard;2;Vale;499,51;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Audira Bocchi Bezerra;968.011.682-40;F;1984-02-01;Ribeirão Preto;SP;audira.bezerra@yahoo.com.br;(51) 96148-7372;Ouro;3,0;91,47
RSV-13945401;QRT-97434;HSP-345766;Balcão;2024-12-04;04.12.24;05/12/2024;4;546,29;Check-out Realizado;HTL-606;209;2;Suíte Master;4;Cidade;515,73;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Klaus Kroener;672.824.197-36;M;2006-12-05;Uberlândia;MG;klauskroener@yahoo.com.br;(62) 99776-1708;Bronze;1,0;142,16
RSV-80257657;QRT-15228;HSP-394980;Site Próprio;2024-04-30;17/07/2024;19/07/2024;2;555,76;Check-out Realizado;HTL-782;103;1;Standard;2;Mata;386,98;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Norton Aranzales Guerra;569.146.164-85;M;1980-01-24;Curitiba;PR;norton.guerra@yahoo.com.br;(41) 96769-8785;Prata;4,0;758,6
RSV-08975837;QRT-70661;HSP-392355;Central Telefônica;2026-07-05;10/07/2026;12-07-2026;3;3220,98;Cancelada;HTL-356;302;3;Luxo;3;Jardim;1481,48;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Rosmary Coelho;687.884.204-26;F;1960-04-16;Curitiba;PR;rosmary_coelho89@icloud.com;(81) 99161-5040;Bronze;0,0;0,0
RSV-53237137;QRT-53914;HSP-901706;OTA BookNow;2024-10-17;14/12/2024;19/12/2024;2;798,51;Check-out Realizado;HTL-602;111;1;Standard;2;Vale;411,4;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Célio Cunha Arduno;580.998.262-05;M;1962-11-27;Rio de Janeiro;RJ;celio_arduno@outlook.com;(19) 99453-1576;Bronze;5,0;619,21
RSV-31937662;QRT-06113;HSP-458498;Site;2026-02-11;29/04/2026;01/05/2026;1;147,17;Check-out Realizado;HTL-103;211;2;Standard;2;Piscina;221,22;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Janio Miranda;126.370.079-90;M;1953-11-28;Rio de Janeiro;RJ;janio_miranda@icloud.com;(41) 96851-1378;Diamante;2,0;218,46
RSV-57069069;QRT-26280;HSP-406207;Site Próprio;2026-01-24;27/02/2026;03-03-2026;2;342,28;No-Show;HTL-782;207;2;Standard;2;Jardim;417,21;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Iara Diehl Hansen;419.066.954-74;F;1970-02-23;Curitiba;PR;iara_hansen@uol.com.br;(61) 97948-1080;Ouro;0,0;0,0
RSV-91160899;QRT-26539;HSP-686533;booknow;2026-01-04;2026-02-27;02/03/2026;2;559,18;Check-out Realizado;HTL-785;102;1;Standard;2;Mar;393,85;Horizonte Plaza Búzios;Horizonte Plaza;Búzios;RJ;praia;4;2008;8,9;Karl Borsari Campigotto;228.735.118-34;M;1959-03-25;Brasília;DF;karl_campigotto@yahoo.com.br;(41) 97063-2113;Diamante;4,0;904,2
RSV-17035500;QRT-37204;HSP-215788;Site Próprio;2024-07-02;17/08/2024;19/08/2024;4;778,02;Check-out Realizado;HTL-878;207;2;Suíte Master;4;Piscina;1061,43;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Bruno Nishimura Sarmento;396.773.923-60;M;1991-05-19;Recife;PE;brunosarmento@hotmail.com;(61) 96480-3024;Bronze;2,0;375,19
RSV-09930120;QRT-07031;HSP-302056;Site Próprio;2024-11-15;2024-11-30;07/12/2024;1;220,39;Check-out Realizado;HTL-105;205;2;Superior;3;Jardim;231,72;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Klaus Zimmer Agostini;395.311.695-94;M;1997-04-28;São Paulo;SP;klausagostini@gmail.com;(61) 99292-3087;Ouro;2,0;145,85
RSV-28042474;QRT-46308;HSP-731979;Balcão;2025-09-26;26/09/2025;28/09/2025;1;710,63;Check-out Realizado;HTL-356;307;3;Standard;2;Jardim;831,2;Horizonte Grand Resort Campos do Jordão;Horizonte Grand Resort;Campos do Jordão;SP;serra;5;2020;8,7;Seiji Ambrogio Krueger;320.923.267-91;M;1958-08-30;Londrina;PR;seiji_krueger@hotmail.com;(31) 97966-7585;Ouro;8,0;1505,26
RSV-01009770;QRT-00452;HSP-437246;OTA BookNow;2025-03-12;26/05/2025;31/05/2025;2;1090,91;Check-out Realizado;HTL-485;105;1;Standard;2;Mar;905,93;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Eloris Lacerda Arcot;355.297.096-72;F;1977-02-26;Recife;PE;eloris_arcot60@yahoo.com.br;(31) 97990-4916;Diamante;18,0;3735,16
RSV-18503864;QRT-92964;HSP-265237;OTA BookNow;2026-01-23;24/04/2026;29/04/2026;1;892,28;Check-out Realizado;HTL-485;308;3;Standard;2;Piscina;1266,05;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Anaís Arcino;175.060.947-97;F;2005-06-26;Brasília;DF;anais.arcino@uol.com.br;(62) 96052-7386;Bronze;13,0;1716,1
RSV-82290750;QRT-00699;HSP-101854;Site Próprio;2026-05-31;22/06/2026;2026-06-26;1;1050,83;Check-out Realizado;HTL-485;303;3;Superior;3;Piscina;1526,1;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Antonieta Anjinho Arconde;202.825.365-74;F;1984-05-25;Ribeirão Preto;SP;antonieta_arconde3@outlook.com;(41) 99319-9819;Diamante;14,0;2589,9
RSV-09765521;QRT-28319;HSP-971909;OTA BookNow;2024-05-12;04/07/2024;11/07/2024;1;661,63;Check-out Realizado;HTL-485;501;5;Standard;2;Jardim;808,44;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;OTACÍLIO HEISE BOSIO;851.846.689-00;M;1994-06-20;Porto Alegre;RS;otaciliobosio@icloud.com;(61) 98443-4643;Prata;10,0;2897,1
RSV-85945351;QRT-45866;HSP-760179;OTA ViajaMais;2024-11-07;06/12/2024;10/12/2024;3;1044,48;Check-out Realizado;HTL-878;410;4;Superior;3;Mar;579,9;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Claudieli Uchôa Leite;139.372.998-31;F;1965-05-08;Curitiba;PR;claudieli.leite@yahoo.com.br;(41) 96681-3441;Ouro;4,0;299,83
RSV-95959241;QRT-49496;HSP-315072;Agência de Turismo;2024-03-31;13/08/2024;17/08/2024;3;500,78;Check-out Realizado;HTL-108;112;1;Suíte Master;4;Cidade;814,14;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Filipe Hartmann Abe;538.179.335-92;M;2003-11-04;Recife;PE;filipe_abe@uol.com.br;(19) 97135-1892;Diamante;4,0;187,67
RSV-05738936;QRT-11654;HSP-377681;OTA - BookNow;2025-11-14;23-02-2026;25/02/2026;2;1007,99;Check-out Realizado;HTL-108;402;4;Suíte Master;4;Cidade;965,36;Horizonte Plaza Belo Horizonte;Horizonte Plaza;Belo Horizonte;MG;urbano;4;2003;7,6;Waldemar Andrade;451.356.099-11;M;1971-06-17;Brasília;DF;waldemar.andrade34@uol.com.br;(11) 97647-2175;Prata;0,0;0,0
RSV-44093075;QRT-37102;HSP-604737;OTA ViajaMais;2025-03-27;18-07-2025;2025-07-21;2;485,98;Check-out Realizado;HTL-105;201;2;Superior;3;Jardim;321,68;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Acília Borges Arconde;696.374.912-44;F;1983-05-29;Campinas;SP;acilia.arconde@yahoo.com.br;(81) 99914-1605;Bronze;1,0;123,06
RSV-17132525;QRT-63506;HSP-201782;OTA ViajaMais;2025-11-18;18/01/2026;20/01/2026;1;150,07;Check-out Realizado;HTL-606;305;3;Standard;2;Cidade;220,43;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Isac Aranda;438.826.976-01;M;1977-07-02;Curitiba;PR;isacaranda16@hotmail.com;(19) 97584-8977;Prata;3,0;252,81
RSV-42413967;QRT-15228;HSP-212237;OTA BookNow;2025-09-19;22.09.25;25/09/2025;1;304,10;Check-out Realizado;HTL-782;103;1;Standard;2;Mata;386,98;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Elorisa Costa Cafagna;563.538.476-53;F;1974-02-21;São Paulo;SP;elorisa.cafagna19@hotmail.com;(62) 98100-3481;Diamante;2,0;710,49
RSV-20331711;QRT-74428;HSP-990204;booknow;2026-01-27;13/03/2026;17/03/2026;2;398,85;Check-out Realizado;HTL-602;102;1;Standard;2;Montanha;535,95;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Graziela Bianconi Campi;395.327.918-17;F;1974-03-20;São Paulo;SP;graziela.campi16@yahoo.com.br;(16) 96486-7858;Bronze;5,0;646,67
RSV-25513729;QRT-81933;HSP-193048;OTA BookNow;2026-07-22;10/09/2026;14/09/2026;2;159,60;Cancelada;HTL-103;102;1;Superior;3;Piscina;239,89;Horizonte Express Florianópolis;Horizonte Express;Florianópolis;SC;praia;3;2004;8,7;Rubem Cinelli Archanno;872.235.303-83;M;1990-09-15;São Paulo;SP;rubem.archanno@uol.com.br;(62) 97000-3811;Diamante;0,0;0,0
RSV-01960243;QRT-74691;HSP-019683;OTA ViajaMais;2026-04-13;13/06/2026;18-06-2026;3;741,40;Check-out Realizado;HTL-485;111;1;Luxo;3;Jardim;1127,91;Horizonte Grand Resort Porto de Galinhas;Horizonte Grand Resort;Porto de Galinhas;PE;praia;5;2009;8,6;Denis Grimm Guerra;830.983.664-35;M;1968-05-26;Brasília;DF;denisguerra54@outlook.com;(11) 99304-8750;Ouro;14,0;4709,59
RSV-24127482;QRT-63609;HSP-943595;Site Próprio;2026-02-06;10/04/2026;14/04/2026;3;419,27;Check-out Realizado;HTL-105;112;1;Suíte Master;4;Mata;555,49;Horizonte Express Foz do Iguaçu;Horizonte Express;Foz do Iguaçu;PR;eco;3;2013;8,8;Inocêncio Ehlers;750.148.102-41;M;1976-04-20;Recife;PE;inocencio_ehlers88@hotmail.com;(19) 99578-5534;Bronze;1,0;42,63
RSV-04093619;QRT-99814;HSP-361989;Site Próprio;2025-03-23;13/06/2025;17/06/2025;1;R$ 571,77;Check-out Realizado;HTL-602;302;3;Standard;2;Vale;488,85;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Norberto Brito Konno;483.609.016-43;M;1970-02-28;Ribeirão Preto;SP;norbertokonno97@gmail.com;(61) 99661-4550;Prata;4,0;348,58
RSV-26775451;QRT-38783;HSP-984064;Central Telefônica;2024-07-14;2024-07-14;19/07/2024;1;874,70;Check-out Realizado;HTL-878;206;2;Superior;3;Piscina;442,06;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Saulo Antenor Abade;564.224.059-52;M;1993-11-05;Porto Alegre;RS;sauloabade@gmail.com;(62) 96748-4826;Bronze;6,0;1030,18
RSV-43494069;QRT-69925;HSP-302056;OTA BookNow;2024-10-10;05/02/2025;06/02/2025;1;247,45;Check-out Realizado;HTL-606;506;5;SUPERIOR;3;Interna;228,24;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Klaus Zimmer Agostini;395.311.695-94;M;1997-04-28;São Paulo;SP;klausagostini@gmail.com;(61) 99292-3087;Ouro;2,0;69,41
RSV-24630711;QRT-29485;HSP-074227;OTA BookNow;2024-05-19;31/07/2024;03/08/2024;2;696,39;Check-out Realizado;HTL-602;301;3;Standard;2;Montanha;440,36;Horizonte Plaza Gramado;Horizonte Plaza;Gramado  ;RS;serra;4;2001;7,9;Adriana Löffler Avanzini;837.623.147-21;F;2000-02-16;Recife;PE;adriana.avanzini@hotmail.com;(19) 98807-1294;Diamante;1,0;74,31
RSV-63695826;QRT-96972;HSP-791185;OTA BookNow;2026-06-16;06/09/2026;2026-09-10;2;340,55;Confirmada;HTL-606;504;5;SUP;3;Avenida;242,42;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Acília Angeli Amaro;019.982.477-08;F;1957-09-27;São Paulo;SP;acilia.amaro@yahoo.com.br;(61) 96406-9579;Prata;0,0;0,0
RSV-16345542;QRT-26280;HSP-386040;OTA BookNow;2024-07-18;04/10/2024;07/10/2024;2;312,49;Check-out Realizado;HTL-782;207;2;Standard;2;Jardim;417,21;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Shoiti Afonso Cruz;063.254.310-81;M;1959-11-11;Brasília;DF;shoiti_cruz@hotmail.com;(16) 99514-1399;Bronze;3,0;955,98
RSV-50113102;QRT-10397;HSP-061319;OTA BookNow;2025-10-16;11/12/2025;13/12/2025;2;550,37;Check-out Realizado;HTL-602;303;3;Standard;2;Jardim;501,46;Horizonte Plaza Gramado;Horizonte Plaza;Gramado;RS;serra;4;2001;7,9;Joilson Luz Makino;073.106.526-30;M;1978-09-01;Brasília;DF;joilson_makino@yahoo.com.br;(19) 96981-2892;Diamante;3,0;661,59
RSV-99325415;QRT-94862;HSP-637058;Agência de Turismo;2026-07-26;28/08/2026;30.08.26;2;469,32;Confirmada;HTL-878;402;4;Luxo;3;Jardim;616,06;Horizonte Plaza Maceió;Horizonte Plaza;Maceió;AL;praia;4;1999;9,0;Alves Anzolin Bonfim;721.789.402-69;F;1965-03-12;Porto Alegre;RS;alvesbonfim@yahoo.com.br;(16) 98803-7624;Bronze;0,0;0,0
RSV-20629200;QRT-72908;HSP-345131;Site Próprio;2024-09-20;08/12/2024;12/12/2024;2;140,86;Check-out Realizado;HTL-606;107;1;Standard;2;Interna;228,08;Horizonte Express São Paulo;Horizonte Express;São Paulo;SP;urbano;3;2017;9,0;Caio Hack Carta;978.879.531-54;M;2000-01-01;Brasília;DF;caio.carta@gmail.com;(51) 96057-6279;Diamante;1,0;66,98
RSV-02166730;QRT-59512;HSP-842289;OTA BookNow;2025-11-16;23/01/2026;27/01/2026;1;474,06;Cancelada;HTL-782;104;1;Standard;2;Jardim;503,8;Horizonte Plaza Bonito;Horizonte Plaza;Bonito;MS;eco;4;2022;7,9;Uwe Engel Santos;403.972.675-84;M;1972-06-03;Curitiba;PR;uwe_santos54@uol.com.br;(11) 98383-5821;Bronze;0,0;0,0
RSV-63224615;QRT-03540;HSP-571865;OTA ViajaMais;2024-05-23;12/08/2024;13/08/2024;2;335,02;Check-out Realizado;HTL-108;104;1;Standard;2;Avenida;386,51;Horizonte Plaza Belo Horizonte;Horizonte Plaza;BELO HORIZONTE;MG;urbano;4;2003;7,6;Clarice Kurz Pereira;465.638.256-64;F;1955-11-14;Porto Alegre;RS;claricepereira99@uol.com.br;(16) 98612-7447;Bronze;0,0;0,0
